id,character,readings,shapes,components,strokes,radical_reading,radical_character,drawing,unicode
1,亜,a á,⿱,二,7.0,nhị,二,一丨フ一丨丨一,U+4E9C
2,唖,á ách nha,⿰,口亜,10.0,khẩu,口,丨フ一一丨フ一丨丨一,U+5516
3,娃,oa,⿰,女圭,9.0,nữ,女,フノ一一丨一一丨一,U+5A03
4,阿,a á ốc,⿰,⻖可,7.0,phụ,阜,フ丨一丨フ一丨,U+963F
5,哀,ai,⿴,衣口,9.0,khẩu,口,丶一丨フ一ノフノ丶,U+54C0
6,愛,ái,⿳⿱,爫冖心夂,13.0,tâm,心,ノ丶丶ノ丶フ丶フ丶丶ノフ丶,U+611B
7,挨,ai ải,⿰,⺘矣,10.0,thủ,手,一丨一フ丶ノ一一ノ丶,U+6328
8,姶,hấp ấp,⿰,女合,9.0,nữ,女,フノ一ノ丶一丨フ一,U+59F6
9,逢,bồng phùng,⿺,辶夆,10.0,sước,辵,ノフ丶一一一丨丶フ丶,U+9022
10,葵,quỳ,⿱,艹癸,12.0,thảo,艸,一丨丨フ丶ノノ丶一一ノ丶,U+8475
11,茜,thiến trệ tây tê,⿱,艹西,9.0,thảo,艸,一丨丨一丨フノフ一,U+831C
12,穐,thu,⿰,禾亀,16.0,hoà,禾,ノ一丨ノ丶ノフ丨フ一一丨フ一一フ,U+7A50
13,悪,ác,⿱,亜心,11.0,tâm,心,一丨フ一丨丨一丶フ丶丶,U+60AA
14,握,ác ốc,⿰,⺘屋,12.0,thủ,手,一丨一フ一ノ一フ丶一丨一,U+63E1
15,渥,ác ốc,⿰,⺡屋,12.0,thuỷ,水,丶丶一フ一ノ一フ丶一丨一,U+6E25
16,旭,húc,⿺,九日,6.0,nhật,日,ノフ丨フ一一,U+65ED
17,葦,vy vĩ,⿱,艹韋,12.0,thảo,艸,一丨丨フ丨一丨フ一一フ丨,U+8466
18,芦,lô lư,⿱,艹户,7.0,thảo,艸,一丨丨丶フ一ノ,U+82A6
19,鯵,sâm,⿰,魚参,19.0,ngư,魚,ノフ丨フ一丨一丶丶丶丶フ丶一ノ丶ノノノ,U+9BF5
20,梓,tử,⿰,木辛,11.0,mộc,木,一丨ノ丶丶一丶ノ一一丨,U+6893
21,圧,áp yểm yếp,⿰,厂土,5.0,thổ,土,一ノ一丨一,U+5727
22,斡,oát quản,⿸⿰,𠦝人斗,14.0,đẩu,斗,一丨丨フ一一一丨ノ丶丶丶一丨,U+65A1
23,扱,hấp tháp tráp,⿰,⺘及,6.0,thủ,手,一丨一ノフ丶,U+6271
24,宛,uyên uyển,⿱,宀夗,8.0,miên,宀,丶丶フノフ丶フフ,U+5B9B
25,姐,thư tả,⿰,女且,8.0,nữ,女,フノ一丨フ一一一,U+59D0
26,虻,manh,⿰,虫亡,9.0,trùng,虫,丨フ一丨一丶丶一フ,U+867B
27,飴,di tự,⿰,飠台,13.0,thực,食,ノ丶丶フ一一フ丶フ丶丨フ一,U+98F4
28,絢,huyến,⿰,糹旬,12.0,mịch,糸,フフ丶丶丶丶ノフ丨フ一一,U+7D62
29,綾,lăng,⿰,糹夌,14.0,mịch,糸,フフ丶丶丶丶一丨一ノ丶ノフ丶,U+7DBE
30,鮎,niêm niềm,⿰,魚占,16.0,ngư,魚,ノフ丨フ一丨一丶丶丶丶丨一丨フ一,U+9B8E
31,或,hoặc vực,⿹⿱,戈口一,8.0,qua,戈,一丨フ一一フノ丶,U+6216
32,粟,túc,⿱,覀米,12.0,mễ,米,一丨フ丨丨一丶ノ一丨ノ丶,U+7C9F
33,袷,cáp giáp khiếp kiếp,⿰,衤合,11.0,y,衣,丶フ丨ノ丶ノ丶一丨フ一,U+88B7
34,安,an yên,⿱,宀女,6.0,miên,宀,丶丶フフノ一,U+5B89
35,庵,am,⿸,广奄,11.0,nghiễm,广,丶一ノ一ノ丶丨フ一一フ,U+5EB5
36,按,án,⿰,⺘安,9.0,thủ,手,一丨一丶丶フフノ一,U+6309
37,暗,ám âm,⿰,日音,13.0,nhật,日,丨フ一一丶一丶ノ一丨フ一一,U+6697
38,案,án,⿱,安木,10.0,mộc,木,丶丶フフノ一一丨ノ丶,U+6848
39,闇,am yểm ám,⿵,門音,17.0,môn,門,丨フ一一丨フ一一丶一丶ノ一丨フ一一,U+95C7
40,鞍,an yên,⿰,革安,15.0,cách,革,一丨丨一丨フ一一丨丶丶フフノ一,U+978D
41,杏,hạnh,⿱,木口,7.0,mộc,木,一丨ノ丶丨フ一,U+674F
42,以,dĩ,⿲,𠄌丶人,4.0,nhân,人,フ丶ノ丶,U+4EE5
43,伊,y,⿰,亻尹,6.0,nhân,人,ノ丨フ一一ノ,U+4F0A
44,位,vị,⿰,亻立,7.0,nhân,人,ノ丨丶一丶ノ一,U+4F4D
45,依,y ỷ,⿰,亻衣,8.0,nhân,人,ノ丨丶一ノフノ丶,U+4F9D
46,偉,vĩ,⿰,亻韋,11.0,nhân,人,ノ丨フ丨一丨フ一一フ丨,U+5049
47,囲,vy,⿴,囗井,7.0,vi,囗,丨フ一一ノ丨一,U+56F2
48,夷,di,⿻,大弓,6.0,đại,大,一フ一フノ丶,U+5937
49,委,uy uỷ,⿱,禾女,8.0,nữ,女,ノ一丨ノ丶フノ一,U+59D4
50,威,oai uy,⿵,戌女,9.0,nữ,女,一ノ一フノ一フノ丶,U+5A01
51,尉,uý uất,⿰,尸示寸,11.0,thốn,寸,フ一ノ一一丨ノ丶一丨丶,U+5C09
52,惟,duy,⿰,⺖隹,11.0,tâm,心,丶丶丨ノ丨丶一一一丨一,U+60DF
53,意,y ý,⿱,音心,13.0,tâm,心,丶一丶ノ一丨フ一一丶フ丶丶,U+610F
54,慰,uý uỷ,⿱,尉心,15.0,tâm,心,フ一ノ一一丨ノ丶一丨丶丶フ丶丶,U+6170
55,易,dị dịch,⿱,日勿,8.0,nhật,日,丨フ一一ノフノノ,U+6613
56,椅,kỷ y ỷ,⿰,木奇,12.0,mộc,木,一丨ノ丶一ノ丶一丨フ一丨,U+6905
57,為,vi vy vị,⿸,火,9.0,hoả,火,丶ノフフフ丶丶丶丶,U+70BA
58,畏,uý,⿳,田一𧘇,9.0,điền,田,丨フ一丨一一フノ丶,U+754F
59,異,di dị,⿱,田共,11.0,điền,田,丨フ一丨一一丨丨一ノ丶,U+7570
60,移,di dị sỉ xỉ,⿰,禾多,11.0,hoà,禾,ノ一丨ノ丶ノフ丶ノフ丶,U+79FB
61,維,duy,⿰,糹隹,14.0,mịch,糸,フフ丶丶丶丶ノ丨丶一一一丨一,U+7DAD
62,緯,vĩ vị,⿰,糹韋,15.0,mịch,糸,フフ丶丶丶丶フ丨一丨フ一一フ丨,U+7DEF
63,胃,trụ vị,⿱,田月,9.0,nhục,肉,丨フ一丨一丨フ一一,U+80C3
64,萎,nuy uy uỷ,⿱,艹委,11.0,thảo,艸,一丨丨ノ一丨ノ丶フノ一,U+840E
65,衣,y ý,⿱,亠,6.0,y,衣,丶一ノフノ丶,U+8863
66,謂,vị,⿰,言胃,16.0,ngôn,言,丶一一一丨フ一丨フ一丨一丨フ一一,U+8B02
67,違,vi vy,⿺,辶韋,12.0,sước,辵,フ丨一丨フ一一フ丨丶フ丶,U+9055
68,遺,di dị,⿺,辶貴,15.0,sước,辵,丨フ一丨一丨フ一一一ノ丶丶フ丶,U+907A
69,医,y ế,⿷,匚矢,7.0,hễ,匸,一ノ一一ノ丶フ,U+533B
70,井,tĩnh tỉnh đán,⿻,二,4.0,nhị,二,一一ノ丨,U+4E95
71,亥,giai hợi,⿻,亠人,6.0,đầu,亠,丶一フノノ丶,U+4EA5
72,域,vực,⿰,土或,11.0,thổ,土,一丨一一丨フ一一フノ丶,U+57DF
73,育,dục,⿳,亠厶月,8.0,nhục,肉,丶一フ丶丨フ一一,U+80B2
74,郁,uất Úc úc,⿰,有⻏,8.0,ấp,邑,一ノ丨フ一一フ丨,U+90C1
75,磯,ki ky,⿰,石幾,17.0,thạch,石,一ノ丨フ一フフ丶フフ丶一ノ丶フノ丶,U+78EF
76,一,nhất,⿻,一,1.0,nhất,一,一,U+4E00
77,壱,nhất,⿳,士冖匕,7.0,sĩ,士,一丨一丶フノフ,U+58F1
78,溢,dật,⿰,⺡益,13.0,thuỷ,水,丶丶一丶ノ一ノ丶丨フ丨丨一,U+6EA2
79,逸,dật,⿺,辶兔,11.0,sước,辵,ノフ丨フ一ノフ丶丶フ丶,U+9038
80,稲,đạo,⿱⿱,禾爫旧,14.0,hoà,禾,ノ一丨ノ丶ノ丶丶ノ丨丨フ一一,U+7A32
81,茨,tì từ tỳ,⿱,艹次,9.0,thảo,艸,一丨丨丶一ノフノ丶,U+8328
82,芋,dụ hu vu,⿱,艹于,6.0,thảo,艸,一丨丨一一丨,U+828B
83,鰯,mòi nhuyễn,⿰,魚弱,21.0,ngư,魚,ノフ丨フ一丨一丶丶丶丶フ一フ丶一フ一フ丶一,U+9C2F
84,允,doãn duẫn,⿱,厶儿,4.0,nhân,儿,フ丶ノフ,U+5141
85,印,ấn,⿰,卩,5.0,tiết,卩,ノフ一フ丨,U+5370
86,咽,yên yến yết ân ế,⿰,口因,9.0,khẩu,口,丨フ一丨フ一ノ丶一,U+54BD
87,員,viên vân,⿱,口貝,10.0,khẩu,口,丨フ一丨フ一一一ノ丶,U+54E1
88,因,nhân,⿴,囗大,6.0,vi,囗,丨フ一ノ丶一,U+56E0
89,姻,nhân,⿰,女因,9.0,nữ,女,フノ一丨フ一ノ丶一,U+59FB
90,引,dấn dẫn,⿰,弓丨,4.0,cung,弓,フ一フ丨,U+5F15
91,飲,ấm ẩm,⿰,飠欠,12.0,thực,食,ノ丶丶フ一一フ丶ノフノ丶,U+98F2
92,淫,dâm,⿰,⺡㸒,11.0,thuỷ,水,丶丶一ノ丶丶ノノ一丨一,U+6DEB
93,胤,dận,⿲⿱,丿幺月乚,9.0,nhục,肉,ノフフ丶丨フ一一フ,U+80E4
94,蔭,âm ấm,⿱,艹陰,13.0,thảo,艸,一丨丨フ丨ノ丶丶フ一一フ丶,U+852D
95,院,viện,⿰,⻖完,9.0,phụ,阜,フ丨丶丶フ一一ノフ,U+9662
96,陰,uẩn ám âm ấm,⿰,⻖侌,10.0,phụ,阜,フ丨ノ丶丶フ一一フ丶,U+9670
97,隠,ẩn,⿰⿳,⻖爫彐心,13.0,phụ,阜,フ丨ノ丶丶ノフ一一丶フ丶丶,U+96A0
98,韻,vận,⿰,音員,19.0,âm,音,丶一丶ノ一丨フ一一丨フ一丨フ一一一ノ丶,U+97FB
99,吋,thốn đẩu,⿰,口寸,6.0,khẩu,口,丨フ一一丨丶,U+540B
100,右,hữu,⿸,𠂇口,5.0,khẩu,口,一ノ丨フ一,U+53F3
101,宇,vũ,⿱,宀于,6.0,miên,宀,丶丶フ一一丨,U+5B87
102,烏,ô,⿱,火,10.0,hoả,火,ノ丨フ一一フ丶丶丶丶,U+70CF
103,羽,vũ,⿰,习,6.0,vũ,羽,フ丶一フ丶一,U+7FBD
104,迂,vu,⿺,辶于,6.0,sước,辵,一一丨丶フ丶,U+8FC2
105,雨,vú vũ vụ,⿱,雨,8.0,vũ,雨,一丨フ丨丶丶丶丶,U+96E8
106,卯,mão mẹo,⿰,卩,5.0,tiết,卩,ノフノフ丨,U+536F
107,鵜,đề,⿰,弟鳥,18.0,điểu,鳥,丶ノフ一フ丨ノノ丨フ一一一フ丶丶丶丶,U+9D5C
108,窺,khuy,⿱,穴規,16.0,huyệt,穴,丶丶フノ丶一一ノ丶丨フ一一一ノフ,U+7ABA
109,丑,sửu xú,⿻,一,4.0,nhất,一,フ丨一一,U+4E11
110,碓,đối,⿰,石隹,13.0,thạch,石,一ノ丨フ一ノ丨丶一一一丨一,U+7893
111,臼,cữu,⿱,臼,6.0,cữu,臼,ノ丨一フ一一,U+81FC
112,渦,oa qua,⿰,⺡咼,11.0,thuỷ,水,丶丶一丨フフ丨フ丨フ一,U+6E26
113,嘘,hư,⿰,口虚,14.0,khẩu,口,丨フ一丨一フノ一フ丨丨丶ノ一,U+5618
114,唄,bái bại bối,⿰,口貝,10.0,khẩu,口,丨フ一丨フ一一一ノ丶,U+5504
115,欝,uất,⿳⿰,棥网寸,25.0,mộc,木,一丨ノ丶ノ丶ノ丶一丨ノ丶丨フ丨丨一フ一一フ丶一丨丶,U+6B1D
